utt_id,utterance,api_calls,api_name,api_method_name,documentation,persona_number,country,proficiency_level,stylistic_analysis,llm_name
0,"The Apple stocks price now, and the high for this month, I want to see it cause my boss ask me about English analysis but my job is with Japanese so I'm not so understand. Also include that company info thing like market cap, is important I think.","[{'name': 'get_stock_data', 'arguments': {'stock': 'AAPL', 'period': '1mo', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"This writer, a native Chinese speaker with A2-level English, exhibits several consistent patterns: 1. Unusual collocations and word choices (e.g., 'make money for our everyday life', 'save money from our parents', 'practice our management skill', 'leads to the level of your success'). 2. Use of 'As is known for all' as a set phrase, which is a direct translation from Chinese and064; 4. Chinese-style rhetorical questions ('If we don't have any experience about how to work well, how can we live on?'). 5. Confused clause structures and misuse of connectors ('Since we are now college students, it means not only...' shows incorrect use of 'since' where 'being' is needed; 'If smoking is completely banned... customs who like smoking will go... This will lead to the fact that...' shows a wordy, indirectly translated structure). 6. Minor spelling errors that are not simple typos ('customs' for 'customers' appearing twice, suggesting a genuine lexical gap). 7. Overgeneralization of verbs ('practice' for 'practise/improve', 'make' for 'earn/save' money). 8. Use of 'I think' at beginning and end of sentences as a discourse marker typical of Chinese English learners ('I think the restaurants maybe can ...'). 9. Unusual punctuation around connectors, often starting sentences with 'Then' or 'So' followed by a statement and no comma, or MAX capitalization for emphasis ('The answer is NO').",deepseek-ai/DeepSeek-V4-Pro
1,"Yesterday I hear my friend say Tesla stocks going down 5 percent from last year. Can check what is the change percent, and06;0;I also need the data from last one year period, maybe interval every week.","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSLA', 'period': '1y', 'interval': '1wk'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"This writer, a native Chinese speaker with A2-level English, exhibits several consistent patterns: 1. Unusual collocations and word choices (e.g., 'make money for our everyday life', 'save money from our parents', 'practice our management skill', 'leads to the level of your success'). 2. Use of 'As is known for all' as a set phrase, which is a direct translation from Chinese and064; 4. Chinese-style rhetorical questions ('If we don't have any experience about how to work well, how can we live on?'). 5. Confused clause structures and misuse of connectors ('Since we are now college students, it means not only...' shows incorrect use of 'since' where 'being' is needed; 'If smoking is completely banned... customs who like smoking will go... This will lead to the fact that...' shows a wordy, indirectly translated structure). 6. Minor spelling errors that are not simple typos ('customs' for 'customers' appearing twice, suggesting a genuine lexical gap). 7. Overgeneralization of verbs ('practice' for 'practise/improve', 'make' for 'earn/save' money). 8. Use of 'I think' at beginning and end of sentences as a discourse marker typical of Chinese English learners ('I think the restaurants maybe can ...'). 9. Unusual punctuation around connectors, often starting sentences with 'Then' or 'So' followed by a statement and no comma, or MAX capitalization for emphasis ('The answer is NO').",deepseek-ai/DeepSeek-V4-Pro
2,"Microsoft last five days how it do? The price changing I mean. If not so trouble, do every one hour granularity. As is known for all, technology stocks can move very fast so short interval is better for my report I think.","[{'name': 'get_stock_data', 'arguments': {'stock': 'MSFT', 'period': '5d', 'interval': '1h'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"This writer, a native Chinese speaker with A2-level English, exhibits several consistent patterns: 1. Unusual collocations and word choices (e.g., 'make money for our everyday life', 'save money from our parents', 'practice our management skill', 'leads to the level of your success'). 2. Use of 'As is known for all' as a set phrase, which is a direct translation from Chinese and064; 4. Chinese-style rhetorical questions ('If we don't have any experience about how to work well, how can we live on?'). 5. Confused clause structures and misuse of connectors ('Since we are now college students, it means not only...' shows incorrect use of 'since' where 'being' is needed; 'If smoking is completely banned... customs who like smoking will go... This will lead to the fact that...' shows a wordy, indirectly translated structure). 6. Minor spelling errors that are not simple typos ('customs' for 'customers' appearing twice, suggesting a genuine lexical gap). 7. Overgeneralization of verbs ('practice' for 'practise/improve', 'make' for 'earn/save' money). 8. Use of 'I think' at beginning and end of sentences as a discourse marker typical of Chinese English learners ('I think the restaurants maybe can ...'). 9. Unusual punctuation around connectors, often starting sentences with 'Then' or 'So' followed by a statement and no comma, or MAX capitalization for emphasis ('The answer is NO').",deepseek-ai/DeepSeek-V4-Pro
3,"I'm checking NVIDIA stocks, the high price it got for these three months, and also the dividend yield info. That will make my understanding more deep about this company. So we can see include_info.","[{'name': 'get_stock_data', 'arguments': {'stock': 'NVDA', 'period': '3mo', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"This writer, a native Chinese speaker with A2-level English, exhibits several consistent patterns: 1. Unusual collocations and word choices (e.g., 'make money for our everyday life', 'save money from our parents', 'practice our management skill', 'leads to the level of your success'). 2. Use of 'As is known for all' as a set phrase, which is a direct translation from Chinese and064; 4. Chinese-style rhetorical questions ('If we don't have any experience about how to work well, how can we live on?'). 5. Confused clause structures and misuse of connectors ('Since we are now college students, it means not only...' shows incorrect use of 'since' where 'being' is needed; 'If smoking is completely banned... customs who like smoking will go... This will lead to the fact that...' shows a wordy, indirectly translated structure). 6. Minor spelling errors that are not simple typos ('customs' for 'customers' appearing twice, suggesting a genuine lexical gap). 7. Overgeneralization of verbs ('practice' for 'practise/improve', 'make' for 'earn/save' money). 8. Use of 'I think' at beginning and end of sentences as a discourse marker typical of Chinese English learners ('I think the restaurants maybe can ...'). 9. Unusual punctuation around connectors, often starting sentences with 'Then' or 'So' followed by a statement and no comma, or MAX capitalization for emphasis ('The answer is NO').",deepseek-ai/DeepSeek-V4-Pro
4,"Since my dad own some BYD stocks, the current price now? BYD is a China company so I know it, but I want the data from Yahoo. Also960;the biggest time possible like max period, to see how it grow. I think every one months interval is okay.","[{'name': 'get_stock_data', 'arguments': {'stock': 'BYD', 'period': 'max', 'interval': '1mo'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"This writer, a native Chinese speaker with A2-level English, exhibits several consistent patterns: 1. Unusual collocations and word choices (e.g., 'make money for our everyday life', 'save money from our parents', 'practice our management skill', 'leads to the level of your success'). 2. Use of 'As is known for all' as a set phrase, which is a direct translation from Chinese and064; 4. Chinese-style rhetorical questions ('If we don't have any experience about how to work well, how can we live on?'). 5. Confused clause structures and misuse of connectors ('Since we are now college students, it means not only...' shows incorrect use of 'since' where 'being' is needed; 'If smoking is completely banned... customs who like smoking will go... This will lead to the fact that...' shows a wordy, indirectly translated structure). 6. Minor spelling errors that are not simple typos ('customs' for 'customers' appearing twice, suggesting a genuine lexical gap). 7. Overgeneralization of verbs ('practice' for 'practise/improve', 'make' for 'earn/save' money). 8. Use of 'I think' at beginning and end of sentences as a discourse marker typical of Chinese English learners ('I think the restaurants maybe can ...'). 9. Unusual punctuation around connectors, often starting sentences with 'Then' or 'So' followed by a statement and no comma, or MAX capitalization for emphasis ('The answer is NO').",deepseek-ai/DeepSeek-V4-Pro
5,"I am working with Japanese client today and they ask about Apple stocks. Quite more and more people in my company is discussing it. Can you check Apple for me? And I also want to see the company information, like pe ratio and those things.","[{'name': 'get_stock_data', 'arguments': {'stock': 'AAPL', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several distinct L1 Chinese interference patterns typical of a B1_1 level. Vocabulary choices: frequent use of 'quite more and more' (a literal translation from Chinese 相当多), 'in my opinion' as counter-argument marker, 'yet' at sentence start instead of 'but/however', 'proactive' (false friend from 实践/practice), 'banded' instead of 'banned', 'flash ideas' (literal translation for sudden inspiration), 'change an angle to think' (换角度思考). Syntactic patterns: topic-comment structure ('Things that exist must have values'), run-on sentences connected by periods where commas needed ('Yet, if they once had part-time jobs. They will better get involved'), double subjects ('Smoking is damaging people every day'), missing articles ('to college' not 'to a college'), 'also' as connector without conjunction. Grammatical errors: wrong prepositions ('pay attention on'), subject-verb agreement ('a part-time job...make'), wrong verb forms ('feel to have no direction', 'they graduate of they have never had'), 'it is...for then' instead of 'them'. False friends/translations: 'put into proactive' (投入实践), 'make up our disadvantages' (弥补缺点), 'develop in all directions' (全面发展), 'high qualities' instead of 'high quality'. Spelling: 'banded' for 'banned', 'then' for 'them'.",deepseek-ai/DeepSeek-V4-Pro
6,"Yesterday my coworker from Japan tell me Tesla stock price change a lot this month. He want to know. So just look Tesla, for, like, one month period. I think need to know more detail, maybe every week data?","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSLA', 'period': '1mo', 'interval': '1wk'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several distinct L1 Chinese interference patterns typical of a B1_1 level. Vocabulary choices: frequent use of 'quite more and more' (a literal translation from Chinese 相当多), 'in my opinion' as counter-argument marker, 'yet' at sentence start instead of 'but/however', 'proactive' (false friend from 实践/practice), 'banded' instead of 'banned', 'flash ideas' (literal translation for sudden inspiration), 'change an angle to think' (换角度思考). Syntactic patterns: topic-comment structure ('Things that exist must have values'), run-on sentences connected by periods where commas needed ('Yet, if they once had part-time jobs. They will better get involved'), double subjects ('Smoking is damaging people every day'), missing articles ('to college' not 'to a college'), 'also' as connector without conjunction. Grammatical errors: wrong prepositions ('pay attention on'), subject-verb agreement ('a part-time job...make'), wrong verb forms ('feel to have no direction', 'they graduate of they have never had'), 'it is...for then' instead of 'them'. False friends/translations: 'put into proactive' (投入实践), 'make up our disadvantages' (弥补缺点), 'develop in all directions' (全面发展), 'high qualities' instead of 'high quality'. Spelling: 'banded' for 'banned', 'then' for 'them'.",deepseek-ai/DeepSeek-V4-Pro
7,"Microsoft is a big company. Things that exist must have values, so I want to see how it do. From beginning of this year until now, Microsoft, please. Just daily data is fine I think.","[{'name': 'get_stock_data', 'arguments': {'stock': 'MSFT', 'period': 'ytd', 'interval': '1d'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several distinct L1 Chinese interference patterns typical of a B1_1 level. Vocabulary choices: frequent use of 'quite more and more' (a literal translation from Chinese 相当多), 'in my opinion' as counter-argument marker, 'yet' at sentence start instead of 'but/however', 'proactive' (false friend from 实践/practice), 'banded' instead of 'banned', 'flash ideas' (literal translation for sudden inspiration), 'change an angle to think' (换角度思考). Syntactic patterns: topic-comment structure ('Things that exist must have values'), run-on sentences connected by periods where commas needed ('Yet, if they once had part-time jobs. They will better get involved'), double subjects ('Smoking is damaging people every day'), missing articles ('to college' not 'to a college'), 'also' as connector without conjunction. Grammatical errors: wrong prepositions ('pay attention on'), subject-verb agreement ('a part-time job...make'), wrong verb forms ('feel to have no direction', 'they graduate of they have never had'), 'it is...for then' instead of 'them'. False friends/translations: 'put into proactive' (投入实践), 'make up our disadvantages' (弥补缺点), 'develop in all directions' (全面发展), 'high qualities' instead of 'high quality'. Spelling: 'banded' for 'banned', 'then' for 'them'.",deepseek-ai/DeepSeek-V4-Pro
8,"In my Chinese stock group everyone talking about Nvidia. It go up and down so fast! Can see Nvidia for past five days? But I want every hour info, maybe every one hour, because the price change quick.","[{'name': 'get_stock_data', 'arguments': {'stock': 'NVDA', 'period': '5d', 'interval': '1h'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several distinct L1 Chinese interference patterns typical of a B1_1 level. Vocabulary choices: frequent use of 'quite more and more' (a literal translation from Chinese 相当多), 'in my opinion' as counter-argument marker, 'yet' at sentence start instead of 'but/however', 'proactive' (false friend from 实践/practice), 'banded' instead of 'banned', 'flash ideas' (literal translation for sudden inspiration), 'change an angle to think' (换角度思考). Syntactic patterns: topic-comment structure ('Things that exist must have values'), run-on sentences connected by periods where commas needed ('Yet, if they once had part-time jobs. They will better get involved'), double subjects ('Smoking is damaging people every day'), missing articles ('to college' not 'to a college'), 'also' as connector without conjunction. Grammatical errors: wrong prepositions ('pay attention on'), subject-verb agreement ('a part-time job...make'), wrong verb forms ('feel to have no direction', 'they graduate of they have never had'), 'it is...for then' instead of 'them'. False friends/translations: 'put into proactive' (投入实践), 'make up our disadvantages' (弥补缺点), 'develop in all directions' (全面发展), 'high qualities' instead of 'high quality'. Spelling: 'banded' for 'banned', 'then' for 'them'.",deepseek-ai/DeepSeek-V4-Pro
9,"My friend invest in some Taiwan company, he say I should look at TSMC. Yet, I don't know nothing about it. Show me TSMC for whole ten years, but just month by month. Also I need the metadata, like market cap and sector, to know if it safe.","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSM', 'period': '10y', 'interval': '1mo', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several distinct L1 Chinese interference patterns typical of a B1_1 level. Vocabulary choices: frequent use of 'quite more and more' (a literal translation from Chinese 相当多), 'in my opinion' as counter-argument marker, 'yet' at sentence start instead of 'but/however', 'proactive' (false friend from 实践/practice), 'banded' instead of 'banned', 'flash ideas' (literal translation for sudden inspiration), 'change an angle to think' (换角度思考). Syntactic patterns: topic-comment structure ('Things that exist must have values'), run-on sentences connected by periods where commas needed ('Yet, if they once had part-time jobs. They will better get involved'), double subjects ('Smoking is damaging people every day'), missing articles ('to college' not 'to a college'), 'also' as connector without conjunction. Grammatical errors: wrong prepositions ('pay attention on'), subject-verb agreement ('a part-time job...make'), wrong verb forms ('feel to have no direction', 'they graduate of they have never had'), 'it is...for then' instead of 'them'. False friends/translations: 'put into proactive' (投入实践), 'make up our disadvantages' (弥补缺点), 'develop in all directions' (全面发展), 'high qualities' instead of 'high quality'. Spelling: 'banded' for 'banned', 'then' for 'them'.",deepseek-ai/DeepSeek-V4-Pro
