utt_id,utterance,api_calls,api_name,api_method_name,documentation,persona_number,country,proficiency_level,stylistic_analysis,llm_name
0,"I need check Apple stock price now, because my friend from Japan want to buy it.","[{'name': 'get_stock_data', 'arguments': {'stock': 'AAPL'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writer's English is influenced by their Chinese background, showing patterns like literal translations and false friends. Vocabulary choices are sometimes uncommon or awkward (e.g., 'customs' instead of 'customers'). Syntactic patterns include simple sentence structures often connected with basic connectors like 'and', 'but', 'so'. Errors include wrong word choices ('customs' for 'customers'), unusual collocations ('make money from our parents'), and grammatical mistakes ('If we don't have any experience about how to work well'). The writer tends to use phrases that are direct translations from Chinese, such as 'As is known to all' and 'That will make our parents happy'. Punctuation is generally simple, with frequent use of commas to connect independent clauses.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
1,"Yesterday, I see Tesla stock go up very high, so I want know historical data for 1 month.","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSLA', 'period': '1mo'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writer's English is influenced by their Chinese background, showing patterns like literal translations and false friends. Vocabulary choices are sometimes uncommon or awkward (e.g., 'customs' instead of 'customers'). Syntactic patterns include simple sentence structures often connected with basic connectors like 'and', 'but', 'so'. Errors include wrong word choices ('customs' for 'customers'), unusual collocations ('make money from our parents'), and grammatical mistakes ('If we don't have any experience about how to work well'). The writer tends to use phrases that are direct translations from Chinese, such as 'As is known to all' and 'That will make our parents happy'. Punctuation is generally simple, with frequent use of commas to connect independent clauses.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
2,"My boss like Microsoft stock, he want to know current price and other information like market cap.","[{'name': 'get_stock_data', 'arguments': {'stock': 'MSFT', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writer's English is influenced by their Chinese background, showing patterns like literal translations and false friends. Vocabulary choices are sometimes uncommon or awkward (e.g., 'customs' instead of 'customers'). Syntactic patterns include simple sentence structures often connected with basic connectors like 'and', 'but', 'so'. Errors include wrong word choices ('customs' for 'customers'), unusual collocations ('make money from our parents'), and grammatical mistakes ('If we don't have any experience about how to work well'). The writer tends to use phrases that are direct translations from Chinese, such as 'As is known to all' and 'That will make our parents happy'. Punctuation is generally simple, with frequent use of commas to connect independent clauses.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
3,"I work with Japanese company, they want to invest in Alibaba, so I need check its stock data for 5 years with interval of 1 week.","[{'name': 'get_stock_data', 'arguments': {'stock': 'BABA', 'period': '5y', 'interval': '1wk'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writer's English is influenced by their Chinese background, showing patterns like literal translations and false friends. Vocabulary choices are sometimes uncommon or awkward (e.g., 'customs' instead of 'customers'). Syntactic patterns include simple sentence structures often connected with basic connectors like 'and', 'but', 'so'. Errors include wrong word choices ('customs' for 'customers'), unusual collocations ('make money from our parents'), and grammatical mistakes ('If we don't have any experience about how to work well'). The writer tends to use phrases that are direct translations from Chinese, such as 'As is known to all' and 'That will make our parents happy'. Punctuation is generally simple, with frequent use of commas to connect independent clauses.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
4,"Huawei not listed, but I want to know stock data for Xiaomi, it is my favorite phone brand.","[{'name': 'get_stock_data', 'arguments': {'stock': '1810.HK'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writer's English is influenced by their Chinese background, showing patterns like literal translations and false friends. Vocabulary choices are sometimes uncommon or awkward (e.g., 'customs' instead of 'customers'). Syntactic patterns include simple sentence structures often connected with basic connectors like 'and', 'but', 'so'. Errors include wrong word choices ('customs' for 'customers'), unusual collocations ('make money from our parents'), and grammatical mistakes ('If we don't have any experience about how to work well'). The writer tends to use phrases that are direct translations from Chinese, such as 'As is known to all' and 'That will make our parents happy'. Punctuation is generally simple, with frequent use of commas to connect independent clauses.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
5,"I need get stock data of Alibaba, it is very improtant for my japanese client, period is one year.","[{'name': 'get_stock_data', 'arguments': {'stock': 'BABA', 'period': '1y'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writer's English writing style is characterized by simple sentence structures, frequent use of transitional phrases, and literal translations from Chinese. Vocabulary choices often include uncommon words or phrases for native English speakers, such as 'quite more and more', 'pay more attention on', and 'proactive'. Syntactic patterns include the use of 'First of all', 'Also', 'Moreover', and 'Last but not least' to connect ideas. The writer tends to use 'will' instead of 'would' for conditional or future tense, and there are instances of incorrect word choices, such as 'banded' instead of 'banned', and 'then' instead of 'them'. False friends and literal translations are evident, for example, 'things that exist must have values' is a literal translation from Chinese philosophy. Spelling and grammatical errors include 'IT is not easy for then', 'have no direction when they graduate of they have never had part-time jobs'. The writing style is influenced by the writer's native language, Chinese.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
6,"I want know current price and percentage change of Tencent stock, also need market cap and P/E ratio, my friend from china invest in it.","[{'name': 'get_stock_data', 'arguments': {'stock': 'TCEHY', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writer's English writing style is characterized by simple sentence structures, frequent use of transitional phrases, and literal translations from Chinese. Vocabulary choices often include uncommon words or phrases for native English speakers, such as 'quite more and more', 'pay more attention on', and 'proactive'. Syntactic patterns include the use of 'First of all', 'Also', 'Moreover', and 'Last but not least' to connect ideas. The writer tends to use 'will' instead of 'would' for conditional or future tense, and there are instances of incorrect word choices, such as 'banded' instead of 'banned', and 'then' instead of 'them'. False friends and literal translations are evident, for example, 'things that exist must have values' is a literal translation from Chinese philosophy. Spelling and grammatical errors include 'IT is not easy for then', 'have no direction when they graduate of they have never had part-time jobs'. The writing style is influenced by the writer's native language, Chinese.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
7,"Can you give me historical data of Toyota stock for 5 years, interval is 1 month, my japanese boss need this data to make decision.","[{'name': 'get_stock_data', 'arguments': {'stock': 'TM', 'period': '5y', 'interval': '1mo'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writer's English writing style is characterized by simple sentence structures, frequent use of transitional phrases, and literal translations from Chinese. Vocabulary choices often include uncommon words or phrases for native English speakers, such as 'quite more and more', 'pay more attention on', and 'proactive'. Syntactic patterns include the use of 'First of all', 'Also', 'Moreover', and 'Last but not least' to connect ideas. The writer tends to use 'will' instead of 'would' for conditional or future tense, and there are instances of incorrect word choices, such as 'banded' instead of 'banned', and 'then' instead of 'them'. False friends and literal translations are evident, for example, 'things that exist must have values' is a literal translation from Chinese philosophy. Spelling and grammatical errors include 'IT is not easy for then', 'have no direction when they graduate of they have never had part-time jobs'. The writing style is influenced by the writer's native language, Chinese.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
8,"I need stock data of Xiaomi for max period, and also need company metadata like sector and dividend yield.","[{'name': 'get_stock_data', 'arguments': {'stock': '1810.HK', 'period': 'max', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writer's English writing style is characterized by simple sentence structures, frequent use of transitional phrases, and literal translations from Chinese. Vocabulary choices often include uncommon words or phrases for native English speakers, such as 'quite more and more', 'pay more attention on', and 'proactive'. Syntactic patterns include the use of 'First of all', 'Also', 'Moreover', and 'Last but not least' to connect ideas. The writer tends to use 'will' instead of 'would' for conditional or future tense, and there are instances of incorrect word choices, such as 'banded' instead of 'banned', and 'then' instead of 'them'. False friends and literal translations are evident, for example, 'things that exist must have values' is a literal translation from Chinese philosophy. Spelling and grammatical errors include 'IT is not easy for then', 'have no direction when they graduate of they have never had part-time jobs'. The writing style is influenced by the writer's native language, Chinese.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
9,"Give me current price and highs of JD stock for today, my client from beijing very care about it.","[{'name': 'get_stock_data', 'arguments': {'stock': 'JD', 'period': '1d'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writer's English writing style is characterized by simple sentence structures, frequent use of transitional phrases, and literal translations from Chinese. Vocabulary choices often include uncommon words or phrases for native English speakers, such as 'quite more and more', 'pay more attention on', and 'proactive'. Syntactic patterns include the use of 'First of all', 'Also', 'Moreover', and 'Last but not least' to connect ideas. The writer tends to use 'will' instead of 'would' for conditional or future tense, and there are instances of incorrect word choices, such as 'banded' instead of 'banned', and 'then' instead of 'them'. False friends and literal translations are evident, for example, 'things that exist must have values' is a literal translation from Chinese philosophy. Spelling and grammatical errors include 'IT is not easy for then', 'have no direction when they graduate of they have never had part-time jobs'. The writing style is influenced by the writer's native language, Chinese.",meta-llama/Llama-4-Maverick-17B-128E-Instruct-Turbo
