utt_id,utterance,api_calls,api_name,api_method_name,documentation,persona_number,country,proficiency_level,stylistic_analysis,llm_name
0,"I want check Apple stock price now because my boss ask me analyze American technology companies for our Japanese clients, so can you show me the current data?","[{'name': 'get_stock_data', 'arguments': {'stock': 'AAPL'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writing shows several characteristic patterns: 1) Vocabulary - uses formal/academic phrases like 'As is known for all' (incorrect form), 'customs' instead of 'customers', 'lead to the fact that'; 2) Syntax - frequent use of 'can' for possibilities, complex conditional structures with 'if...will...', rhetorical questions followed by answers; 3) Grammar errors - missing articles, incorrect prepositions ('go to restaurants less often'), word form errors ('customs' for 'customers'); 4) Connectors - overuse of 'so', 'then', 'moreover', 'at the same time'; 5) Literal translations - phrases like 'save money from our parents', 'make less money', 'enjoy their time smoking' sound like direct translations from Chinese.",anthropic/claude-4-sonnet
1,"As is known for all, Tesla stock is very popular in China, so I need see the price change for past 3 months with daily data to make report for my work","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSLA', 'period': '3mo', 'interval': '1d'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writing shows several characteristic patterns: 1) Vocabulary - uses formal/academic phrases like 'As is known for all' (incorrect form), 'customs' instead of 'customers', 'lead to the fact that'; 2) Syntax - frequent use of 'can' for possibilities, complex conditional structures with 'if...will...', rhetorical questions followed by answers; 3) Grammar errors - missing articles, incorrect prepositions ('go to restaurants less often'), word form errors ('customs' for 'customers'); 4) Connectors - overuse of 'so', 'then', 'moreover', 'at the same time'; 5) Literal translations - phrases like 'save money from our parents', 'make less money', 'enjoy their time smoking' sound like direct translations from Chinese.",anthropic/claude-4-sonnet
2,"My Japanese colleague told me Microsoft is good investment, then can I get 1 year history data with all company informations like market cap? I want know more details","[{'name': 'get_stock_data', 'arguments': {'stock': 'MSFT', 'period': '1y', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writing shows several characteristic patterns: 1) Vocabulary - uses formal/academic phrases like 'As is known for all' (incorrect form), 'customs' instead of 'customers', 'lead to the fact that'; 2) Syntax - frequent use of 'can' for possibilities, complex conditional structures with 'if...will...', rhetorical questions followed by answers; 3) Grammar errors - missing articles, incorrect prepositions ('go to restaurants less often'), word form errors ('customs' for 'customers'); 4) Connectors - overuse of 'so', 'then', 'moreover', 'at the same time'; 5) Literal translations - phrases like 'save money from our parents', 'make less money', 'enjoy their time smoking' sound like direct translations from Chinese.",anthropic/claude-4-sonnet
3,"I need check Google stock performance for past week with 1 hour intervals because I'm learning about stock analysis, it will help me understand better","[{'name': 'get_stock_data', 'arguments': {'stock': 'GOOGL', 'period': '5d', 'interval': '1h'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writing shows several characteristic patterns: 1) Vocabulary - uses formal/academic phrases like 'As is known for all' (incorrect form), 'customs' instead of 'customers', 'lead to the fact that'; 2) Syntax - frequent use of 'can' for possibilities, complex conditional structures with 'if...will...', rhetorical questions followed by answers; 3) Grammar errors - missing articles, incorrect prepositions ('go to restaurants less often'), word form errors ('customs' for 'customers'); 4) Connectors - overuse of 'so', 'then', 'moreover', 'at the same time'; 5) Literal translations - phrases like 'save money from our parents', 'make less money', 'enjoy their time smoking' sound like direct translations from Chinese.",anthropic/claude-4-sonnet
4,"At the same time I'm working with Japanese team, I also study American market, so show me Amazon stock data from beginning of this year until now","[{'name': 'get_stock_data', 'arguments': {'stock': 'AMZN', 'period': 'ytd'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",210,China,A2_0,"The writing shows several characteristic patterns: 1) Vocabulary - uses formal/academic phrases like 'As is known for all' (incorrect form), 'customs' instead of 'customers', 'lead to the fact that'; 2) Syntax - frequent use of 'can' for possibilities, complex conditional structures with 'if...will...', rhetorical questions followed by answers; 3) Grammar errors - missing articles, incorrect prepositions ('go to restaurants less often'), word form errors ('customs' for 'customers'); 4) Connectors - overuse of 'so', 'then', 'moreover', 'at the same time'; 5) Literal translations - phrases like 'save money from our parents', 'make less money', 'enjoy their time smoking' sound like direct translations from Chinese.",anthropic/claude-4-sonnet
5,"I want to check Apple company stocks because my Japanese boss asked me to make report about technology stocks, also I need to see how much it changed from yesterday","[{'name': 'get_stock_data', 'arguments': {'stock': 'AAPL', 'period': '1d'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several characteristic patterns of B1-level Chinese English learners: 1) Awkward collocations like 'quite more and more' and 'knowledge should be put into proactive'; 2) Run-on sentences with unclear subject-verb relationships and excessive comma usage; 3) Literal translations from Chinese such as 'develop in all directions' and 'change an angle to think'; 4) Wrong prepositions ('pay attention on' instead of 'to', 'graduated of' instead of 'from'); 5) Redundant expressions and verbose phrasing ('a great many people start to'); 6) Capitalization errors ('IT is not easy'); 7) Unnatural connectors and transitional phrases that don't flow naturally; 8) Chinese-influenced sentence structures where ideas are connected with 'also' and 'moreover' in lists.",anthropic/claude-4-sonnet
6,"Tesla stock price is very important for my work research, I need to know the data from past 3 months and also want to see every week information because my company is thinking to invest","[{'name': 'get_stock_data', 'arguments': {'stock': 'TSLA', 'period': '3mo', 'interval': '1wk'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several characteristic patterns of B1-level Chinese English learners: 1) Awkward collocations like 'quite more and more' and 'knowledge should be put into proactive'; 2) Run-on sentences with unclear subject-verb relationships and excessive comma usage; 3) Literal translations from Chinese such as 'develop in all directions' and 'change an angle to think'; 4) Wrong prepositions ('pay attention on' instead of 'to', 'graduated of' instead of 'from'); 5) Redundant expressions and verbose phrasing ('a great many people start to'); 6) Capitalization errors ('IT is not easy'); 7) Unnatural connectors and transitional phrases that don't flow naturally; 8) Chinese-influenced sentence structures where ideas are connected with 'also' and 'moreover' in lists.",anthropic/claude-4-sonnet
7,"Microsoft stocks data should be checked for whole year period, also I want to know company informations like market value because I am writing analysis report for Japanese client","[{'name': 'get_stock_data', 'arguments': {'stock': 'MSFT', 'period': '1y', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several characteristic patterns of B1-level Chinese English learners: 1) Awkward collocations like 'quite more and more' and 'knowledge should be put into proactive'; 2) Run-on sentences with unclear subject-verb relationships and excessive comma usage; 3) Literal translations from Chinese such as 'develop in all directions' and 'change an angle to think'; 4) Wrong prepositions ('pay attention on' instead of 'to', 'graduated of' instead of 'from'); 5) Redundant expressions and verbose phrasing ('a great many people start to'); 6) Capitalization errors ('IT is not easy'); 7) Unnatural connectors and transitional phrases that don't flow naturally; 8) Chinese-influenced sentence structures where ideas are connected with 'also' and 'moreover' in lists.",anthropic/claude-4-sonnet
8,"Amazon stock performance from past 6 months is needed for my project, my boss wants to see every day data because we are preparing presentation about American technology companies","[{'name': 'get_stock_data', 'arguments': {'stock': 'AMZN', 'period': '6mo', 'interval': '1d'}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several characteristic patterns of B1-level Chinese English learners: 1) Awkward collocations like 'quite more and more' and 'knowledge should be put into proactive'; 2) Run-on sentences with unclear subject-verb relationships and excessive comma usage; 3) Literal translations from Chinese such as 'develop in all directions' and 'change an angle to think'; 4) Wrong prepositions ('pay attention on' instead of 'to', 'graduated of' instead of 'from'); 5) Redundant expressions and verbose phrasing ('a great many people start to'); 6) Capitalization errors ('IT is not easy'); 7) Unnatural connectors and transitional phrases that don't flow naturally; 8) Chinese-influenced sentence structures where ideas are connected with 'also' and 'moreover' in lists.",anthropic/claude-4-sonnet
9,"I need to check Google stocks with all company details information, also want to see maximum time period data because my Japanese colleague asked me to compare with other technology stocks","[{'name': 'get_stock_data', 'arguments': {'stock': 'GOOGL', 'period': 'max', 'include_info': True}}]",Stock Market Data,get_stock_data,"{'api_name': 'Stock Market Data', 'api_description': 'Retrieve real-time and historical stock market performance using Yahoo Finance data.', 'api_method_name': 'get_stock_data', 'api_method_description': 'Fetches current price, percentage change, and period highs for a given stock. Optionally returns market metadata such as market cap, P/E ratio, dividend yield, and sector information.', 'api_method_parameters': [{'name': 'stock', 'type': 'STRING', 'description': ""The stock symbol to query (e.g., 'AAPL', 'TSLA', 'MSFT')."", 'required': True}, {'name': 'period', 'type': 'STRING', 'description': 'The time window for historical data.', 'values': ['1d', '5d', '1mo', '3mo', '6mo', '1y', '2y', '5y', '10y', 'ytd', 'max'], 'default': '1d', 'required': False}, {'name': 'interval', 'type': 'STRING', 'description': 'The data granularity/frequency.', 'values': ['1m', '2m', '5m', '15m', '30m', '60m', '90m', '1h', '1d', '5d', '1wk', '1mo', '3mo'], 'default': '1d', 'required': False}, {'name': 'include_info', 'type': 'BOOLEAN', 'description': 'If set to true, returns additional company metadata like market cap, P/E ratio, and sector.', 'default': False, 'required': False}]}",199,China,B1_1,"The writing shows several characteristic patterns of B1-level Chinese English learners: 1) Awkward collocations like 'quite more and more' and 'knowledge should be put into proactive'; 2) Run-on sentences with unclear subject-verb relationships and excessive comma usage; 3) Literal translations from Chinese such as 'develop in all directions' and 'change an angle to think'; 4) Wrong prepositions ('pay attention on' instead of 'to', 'graduated of' instead of 'from'); 5) Redundant expressions and verbose phrasing ('a great many people start to'); 6) Capitalization errors ('IT is not easy'); 7) Unnatural connectors and transitional phrases that don't flow naturally; 8) Chinese-influenced sentence structures where ideas are connected with 'also' and 'moreover' in lists.",anthropic/claude-4-sonnet
